cantidad_productos,clasificacion,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,12kg;2kg;6kg,sin marca,formatos incompatibles,Alimento Perro Adulto Purina One Mediano Grande Carne 12 kg | Alimento Perro Adulto Purina One Mediano Grande Carne 6 kg | Alimento Perro Adulto Purina One Mediano Grande Pollo y Cordero 12 kg | Alimento Perro Adulto Purina One Mediano Grande Cordero 2 kg | Alimento Perro Adulto Purina One Mediano Grande Cordero 6 kg,alimento_perro_adulto_purina_one_mediano,11183;11841;29024;29040;29069
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,15kg;16.5kg;3kg;8kg,sin marca,formatos incompatibles,Alimento Perro Adulto Dog Chow Carne y Pollo 8 kg | Alimento Perro Adulto Dog Chow Carne y Pollo 3 kg | Alimento Perro Adulto Dog Chow Carne y Pollo 15 kg | Alimento Perro Adulto Dog Chow Carne Pollo 16.5 kg | Alimento Perro Adulto Dog Chow Carne y Pollo 15 kg (12+3 kg),alimento_perro_adulto_dog_chow_carne,11847;11853;11855;12246;12289
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.275kg;0.3kg;0.4kg;1kg;3kg,sin marca,formatos incompatibles,Nuggets Sadia Crocantes 3 kg | Nuggets Sadia Crocantes 400 g | Nuggets Sadia Crocantes 1 kg | Nuggets Sadia Crocantes 275 g | Nuggets Sadia Crocantes 300 g,nuggets_sadia_crocantes_sin_marca_general,12412;12416;12430;12437;12462
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.12kg;0.1kg;0.4kg,sin marca,formatos incompatibles,Hamburguesa Vegetal Receta del Abuelo Vegan Crispy Nugget 400 g | Hamburguesa Vegetal Receta del Abuelo Vegan Burger 100 g | Hamburguesa Vegetal Receta del Abuelo Vegan Crispy 120 g | Hamburguesa Vegetal Receta del Abuelo Vegan Burger Pepinillos 100 g | Hamburguesa Vegetal Receta del Abuelo Vegan Burger Queso Azul 100 g,hamburguesa_vegetal_receta_del_abuelo_vegan,12482;12824;12826;12837;13740
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.052kg;0.056kg,sin marca,formatos incompatibles,"Pack 3 un. Atún Lomitos en Agua Light 52 g drenado, 80 g neto | Pack 3 un. Atún Lomitos en Aceite 52 g drenado, 65 g neto | Pack 3 un. Atún Lomitos en Agua 52 g drenado, 80 g neto | Pack 3 un. Atún Lomitos en Agua 56 g drenado, 80 g neto | Pack 3 un. Atún Lomitos en Aceite 52 g drenado, 80 g neto",pack_3_un__atun_lomitos_en,12557;12560;12567;12590;12599
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.05kg;0.125kg;0.17kg;0.1kg;0.31kg,sin marca,formatos incompatibles,Café Instantáneo Nescafé Tradición Tarro 170 g | Café Instantáneo Nescafé Tradición Tarro 50 g | Café Instantáneo Nescafé Tradición Tarro 310 g | Café Instantáneo Nescafé Tradición Tarro 125 g | Café Instantáneo Nescafé Tradición Tarro 100 g,cafe_instantaneo_nescafe_tradicion_tarro_sin,14426;14446;14447;14456;14471
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.5kg;0.7kg;1kg,sin marca,formatos incompatibles,Azúcar Rubia Iansa 500 g | Azúcar Rubia Iansa 1 kg | Azúcar Rubia Iansa 700 g | Azúcar rubia iansa 1 kg | Azúcar rubia iansa 500 g,azucar_rubia_iansa_sin_marca_general,14731;14732;14771;30304;30309
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.25l;0.5l;1l,sin marca,formatos incompatibles,Aceite de Oliva Extra Virgen 1 L | Aceite de Oliva Extra Virgen 500 ml | Aceite de Oliva extra virgen 1 L | Aceite de Oliva extra virgen 500 ml | Aceite de Oliva Extra Virgen 250 ml,aceite_oliva_extra_virgen_sin_marca,15753;15754;16169;16170;16219
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.037kg;0.083kg;0.13kg;0.19kg;0.26kg,sin marca,formatos incompatibles,Papas Fritas Kryzpo Original 130 g | Papas Fritas Kryzpo Original 37 g | Papas Fritas Kryzpo Original 260 g | Papas Fritas Kryzpo Original 190 g | Papas Fritas Kryzpo Original 83 g,papas_fritas_kryzpo_original_sin_marca,17406;17485;18102;19384;19965
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.09kg;0.14kg;0.16kg;0.25kg;0.4kg,sin marca,formatos incompatibles,Chocolate Sahne Nuss Barra 250 g | Chocolate Sahne Nuss Barra 160 g | Chocolate Sahne Nuss Barra 90 g | Chocolate Sahne Nuss Barra 140 g | Chocolate Sahne Nuss Barra 400 g,chocolate_sahne_nuss_barra_sin_marca,17462;18773;18782;18785;19252
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.03kg;0.15kg;0.1kg;0.2kg;0.32kg,sin marca,formatos incompatibles,Cheezels Sabor Queso 200 g | Cheezels Sabor Queso 30 g | Cheezels Sabor Queso 100 g | Cheezels Sabor Queso 150 g | Cheezels Sabor Queso 320 g,cheezels_sabor_queso_sin_marca_general,17476;17727;17749;17828;17870
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.14kg;0.23kg;0.2kg;0.35kg;0.38kg,sin marca,formatos incompatibles,Papas Fritas Marco Polo Caseras 350 g | Papas Fritas Marco Polo Caseras 200 g | Papas Fritas Marco Polo Caseras 380 g | Papas Fritas Marco Polo Caseras 230 g | Papas Fritas Marco Polo Caseras 140 g,papas_fritas_marco_polo_caseras_sin,17556;17813;19017;19206;19888
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.075kg;0.105kg;0.21kg;0.45kg,sin marca,formatos incompatibles,Chocolate de Leche Bon O Bon 75 g | Chocolate de Leche Bon O Bon 210 g | Chocolate de Leche Bon O Bon 450 g | Chocolate de Leche Bon O Bon 105 g | Chocolate de leche bon o bon 210 g,chocolate_leche_bon_o_sin_marca,18308;18311;18482;19152;30360
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.2l;0.4l;1.5l;1l,sin marca,formatos incompatibles,Néctar del Valle Naranja 200 ml | Néctar del Valle Naranja 1.5 L | Néctar del Valle Naranja 400 cc | Néctar del Valle Naranja Light 1 L | Néctar del Valle Naranja 1 L,nectar_del_valle_naranja_sin_marca,18979;21455;21605;21993;21994
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.6l;1.25l;1.5l;1.75l;2l,sin marca,formatos incompatibles,Bebida Limón Soda Zero 1.75 L | Bebida Limón Soda Zero 600 ml | Bebida Limón Soda Zero 1.5 L | Bebida Limón Soda Zero 1.25 L | Bebida Limón Soda Zero 2 L,bebida_limon_soda_sin_marca_zero,20643;20735;20856;20889;21287
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.22l;0.25l;0.591l;1.5l;1.75l,sin marca,formatos incompatibles,Bebida Fanta Naranja 250 ml | Bebida Fanta Naranja 1.5 L | Bebida Fanta Naranja 591 ml | Bebida Fanta Naranja 220 ml | Bebida Fanta Naranja 1.75 L,bebida_fanta_naranja_sin_marca_general,20655;20689;20799;21125;21275
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.25l;1.45l;1.5l;1.75l;3l,sin marca,formatos incompatibles,Bebida Inca Kola 1.25 L | Bebida Inca Kola 3 L | Bebida Inca Kola 1.5 L | Bebida Inca Kola 1.45 L | Bebida Inca Kola 1.75 L,bebida_inca_kola_sin_marca_general,20656;20706;20713;21223;21274
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.35l;0.591l;1.25l;1.45l;1.5l,sin marca,formatos incompatibles,Bebida Fanta Pomelo Sin Azúcar 1.25 L | Bebida Fanta Pomelo Sin Azúcar 1.5 L | Bebida Fanta Pomelo Sin Azúcar 591 ml | Bebida Fanta Pomelo Sin Azúcar 1.45 L | Bebida Fanta Pomelo Sin Azúcar 350 ml,bebida_fanta_pomelo_azucar_sin_marca,20685;20704;21220;21226;21325
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;0.6l;0.85l;1.1l,sin marca,formatos incompatibles,Bebida Isotónica Powerade Naranja 850 ml | Bebida Isotónica Powerade Naranja 1.1 L | Bebida Isotónica Powerade Naranja 600 cc | Bebida Isotónica Powerade Naranja 500 ml | Bebida isotónica powerade naranja 1.1 l,bebida_isotonica_powerade_naranja_sin_marca,20726;20732;20834;21210;30626
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.72l;1.5l;2.5l,sin marca,formatos incompatibles,Bebida Energética Mr. Big 720 cc | Bebida Energética Mr. Big 2.5 L | Bebida Energética Mr. Big Zero 1.5 L | Bebida Energética Mr. Big Zero 720 ml | Bebida Energética Mr. Big 1.5 L,bebida_energetica_mr__big_sin_marca,20745;20748;20895;20900;21202
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.5l;0.75l;1l,sin marca,formatos incompatibles,Bebida Isotónica Gatorade Cool Blue 750 ml | Bebida Isotónica Gatorade Cool Blue 500 cc | Bebida isotónica gatorade cool blue 1 l | Bebida isotónica gatorade cool blue 750 ml | Bebida isotónica gatorade cool blue 500 ml,bebida_isotonica_gatorade_cool_blue_sin,20760;20790;29559;30629;30724
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.5l;2l;3l,sin marca,formatos incompatibles,Bebida Nordic Mist Ginger Ale 3 L | Bebida Nordic Mist Ginger Ale Zero 3 L | Bebida Nordic Mist Ginger Ale Zero 2 L | Bebida Nordic Mist Ginger Ale Zero 1.5 L | Bebida Nordic Mist Ginger Ale 1.5 L,bebida_nordic_mist_ginger_ale_sin,20784;20801;21280;21293;21300
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.22l;0.31l;0.35l,sin marca,formatos incompatibles,Pack 6 un. Bebida Ginger Ale Sin Azúcar Schweppes Lata 310 cc | Pack 6 un. Bebida Ginger Ale Schweppes Lata 310 cc | Pack 6 un. Bebida Ginger Ale Zero 220 ml | Pack 6 un. Bebida Ginger Ale Schweppes Sin Azúcar 350 ml | Pack 6 un. Bebida Ginger Ale Schweppes 350 ml,pack_6_un__bebida_ginger_ale,20929;20942;21115;21193;21197
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.22l;0.2l,sin marca,formatos incompatibles,Pack 4 un. Bebida Thomas Henry Gasificada Jengibre 200 cc | Pack 4 un. Bebida Thomas Henry Gasificada Flor Del Cerezo 200 cc | Pack 4 un. Bebida Thomas Henry Gasificada Sauco 200 cc | Pack 4 un. Bebida Thomas Henry Ginger Beer 200 ml | Pack 4 un. Bebida Thomas Henry Ginger Beer 220 cc,pack_4_un__bebida_thomas_henry,20999;21018;21141;21219;21304
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.33l;0.354l;0.473l,sin marca,formatos incompatibles,Pack 6 un. Cerveza Stella Artois Lager 4.8° 330 cc | Pack 6 un. Cerveza Stella Artois Lager 4.8° 473 cc | Pack 6 un. Cerveza Stella Artois Lager Sin Alcohol 330 cc | Pack 6 un. Cerveza Stella Artois Lager 4.8° 354 cc | Pack 6 un. Cerveza Stella Artois Lager Sin Gluten 5.0° 330 cc,pack_6_un__cerveza_stella_artois,22173;22209;22302;22648;22791
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.33l;0.354l;0.355l;0.473l;0.71l,sin marca,formatos incompatibles,Cerveza Budweiser Lager 5.0° 710 cc | Cerveza Budweiser Lager 5.0° 355 cc | Cerveza Budweiser Lager 5.0° 354 cc | Cerveza Budweiser Lager 5.0° 473 cc | Cerveza Budweiser Lager 5.0° 330 cc,cerveza_budweiser_lager_5_0_sin_marca,22325;22572;22601;22677;22804
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.355l;0.35l;0.47l,sin marca,formatos incompatibles,Pack 6 un. Cerveza Cristal Lager 4.6° 470 cc | Pack 6 un. Cerveza Cristal Lager Sin Alcohol 350 cc | Pack 6 un. Cerveza Cristal Lager 4.6° 350 cc | Pack 6 un. Cerveza Cristal Lager 4.6° 355 cc | Pack 6 un. Cerveza Cristal Lager Sin Alcohol 355 cc,pack_6_un__cerveza_cristal_lager,22334;22400;22555;22647;22665
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.355l;0.473l,sin marca,formatos incompatibles,Pack 4 un. Cerveza Kilómetro 24.7 Ipa 4.5° 473 cc | Pack 4 un. Cerveza Kilómetro 24.7 Amber Lager 4.5° 473 cc | Pack 4 un. Cerveza Kilómetro 24.7 Session Ipa Botella 355 cc | Pack 4 un. Cerveza Kilómetro 24.7 Amber Lager 4.5° 355 cc | Pack 4 un. Cerveza Kilómetro 24.7 Bohemia Pilsener Botella 355 cc,pack_4_un__cerveza_kilometro_24_7,22728;22729;22750;22751;22752
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.4kg;0.54kg;0.57kg;1kg,sin marca,formatos incompatibles,Pan Molde Castaño Blanco 400 g | Pan Molde Castaño Blanco Sin Lactosa 570 g | Pan Molde Castaño Blanco 1 kg | Pan Molde Castaño Blanco Light 540 g | Pan molde castaño blanco 400 g,pan_molde_castano_blanco_sin_marca,24670;24784;24813;24818;30922
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.5l;0.7kg;0.8kg;2.5kg;2.7kg,sin marca,formatos incompatibles,Detergente Polvo Rinso Lirios y Rosas 2.5 kg | Detergente Polvo Rinso Lirios y Rosas 800 g | Detergente Líquido Rinso Lirios y Rosas 500 ml | Detergente Polvo Rinso Lirios y Rosas 2.7 kg | Detergente Polvo Rinso Lirios y Rosas 700 g,detergente_rinso_lirios_rosas_sin_marca,24989;25009;25066;25071;25189
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.25kg;0.75kg,sin marca,formatos incompatibles,Suavizante Aromático Casa Nativa Perlas Aroma Flores Polinésicas 750 g | Suavizante Aromático Casa Nativa Perlas Aroma Bahía Coral 750 g | Suavizante Aromático Casa Nativa Perlas Aroma Bahía Coral 250 g | Suavizante Aromático Casa Nativa Perlas Aroma Frutos Tropicales 750 g | Suavizante Aromático Casa Nativa Perlas Aroma Flores Polinésicas 250 g,suavizante_aromatico_casa_nativa_perlas_aroma,25997;25999;26034;26040;26044
5,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.141kg;0.156kg;0.345kg;0.42kg,sin marca,formatos incompatibles,Perlas de Perfume Downy April Fresh 141 g | Perlas de Perfume Downy April Fresh 345 g | Perlas de Perfume Downy April Fresh 420 g | Perlas de Perfume Downy April Fresh 156 g | Perlas de perfume downy april fresh 141 g,perlas_perfume_downy_april_fresh_sin,26005;26016;26052;26054;31056
5,error de producto_base; formato distinto; peso distinto; posible falso positivo; volumen distinto,0.075l;0.08l;0.125kg;0.15l;0.189kg,sin marca,formatos incompatibles,Pack 2 un. Pasta Dental Colgate Triple Acción 80 ml | Pack 2 un. Pasta Dental Colgate Total Original Mint Prevención Activa 150 ml | Pack 2 un. Pasta Dental Colgate Triple Acción Menta Original 189 g | Pack 2 un. Pasta Dental Colgate Luminous White Brillant 75 ml | Pack 2 un. Pasta Dental Colgate Triple Acción Extra Blancura 125 g,pack_2_un__pasta_dental_colgate,28328;28334;28335;28353;28420
5,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.5l;3l,sin marca,formatos incompatibles,Bebida canada dry ginger ale no retornable 3 l | Bebida canada dry ginger ale zero no retornable 3 l | Bebida canada dry ginger ale zero no retornable 1.5 l | Bebida canada dry ginger ale no retornable 1.5 l | Bebida canada dry ginger ale light no retornable 1.5 l,bebida_canada_dry_ginger_ale_no,29544;29555;30572;30584;30598
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.1kg;0.2kg;0.34kg;0.36kg,sin marca,formatos incompatibles,Chocolate De Leche 340 g Toblerone | Chocolate de Leche Toblerone 200 g | Chocolate de Leche Toblerone 100 g | Chocolate de Leche Toblerone 360 g,chocolate_leche_toblerone_sin_marca_general,123;18780;18839;19097
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.031kg;0.048kg;0.142kg;6un,sin marca,formatos incompatibles,Chocolate Con Leche 31 g M&M'S | Chocolate Con Leche 48 g M&M'S | Chocolate Con Leche 6 Un M&M'S | Chocolate Con Leche 142 g M&M'S,chocolate_con_leche_m_s_sin,197;265;283;302
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.024kg;0.08kg;0.15kg,sin marca,formatos incompatibles,Chocolate De Leche 24 g Trencito | Chocolate de Leche Trencito 150 g | Chocolate de Leche Trencito 24 g | Chocolate de Leche Trencito 80 g,chocolate_leche_trencito_sin_marca_general,238;17171;18346;18771
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.12kg;0.13kg,sin marca,formatos incompatibles,Postre Chandelle Crema Sin Lactosa Manjar | Postre Chandelle Crema Manjar 120 g | Postre Chandelle Crema Sin Lactosa Manjar 120 g | Postre Chandelle Crema Sin Lactosa Manjar 130 g,postre_chandelle_crema_manjar_sin_marca,932;8268;8588;8705
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.75l;0.95l;1.3l,sin marca,formatos incompatibles,Jabón Ballerina Coco Y Jazmin | Jabón Líquido Ballerina Coco Jazmín 750 ml | Jabón Líquido Ballerina Coco Jazmín 1.3 L | Jabón Ballerina Coco Jazmín 950 ml,jabon_ballerina_coco_jazmin_sin_marca,1128;27346;27415;27492
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.335kg;0.5kg,sin marca,formatos incompatibles,Pulpa Maracuya 500 g Minuto verde | Pulpa Maracuyá Minuto Verde 335 g | Pulpa de Maracuyá Minuto Verde 500 g | Pulpa Maracuya Minuto Verde 335 g,pulpa_maracuya_minuto_verde_sin_marca,1289;13051;13080;13827
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.15kg;0.38kg,sin marca,formatos incompatibles,Maní Sin Sal 150 g Marco Polo | Maní Sin Sal 380 g Marco Polo | Maní Sin Sal Marco Polo 150 g | Maní Sin Sal Marco Polo 380 g,mani_sal_marco_polo_sin_marca,1721;1763;18357;18674
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.15kg;0.38kg,sin marca,formatos incompatibles,Maní Salado 150 g Marco Polo | Maní Salado 380 g Marco Polo | Maní Salado Marco Polo 150 g | Maní Salado Marco Polo 380 g,mani_salado_marco_polo_sin_marca,1761;1762;18333;18636
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.064kg;0.085kg,sin marca,formatos incompatibles,Pasta Fideos Instantáneos Ramen Sabor Carne Asada 64 g Maruchan | Pasta Fideos Instantáneos Ramen Sabor Carne 64 g Great Value | Pasta Fideos Instantáneos Ramen Sabor Carne Bolsa 85 g Great Value | Pasta Fideos Instantáneos Ramen Sabor Carne Bolsa 85 g Nissin,pasta_fideos_instantaneos_ramen_sabor_carne,1908;1910;1951;1958
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.085kg;0.1kg,sin marca,formatos incompatibles,Alimento Húmedo Perro Adulto Raza Pequeña Sabor Carne Pouch 100 g Pedigree | Alimento Húmedo Perro Adulto Raza Pequeña Sabor Carne Pouch 100 g Dog Chow | Alimento Húmedo Perro Adulto Raza Pequeña Trocitos Sabor Carne Pouch 85 g Master Dog | Alimento Húmedo Perro Adulto Raza Pequeña Sabor Pollo Pouch 100 g Pedigree,alimento_humedo_perro_adulto_raza_pequena,1924;1982;1983;5996
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.185kg;0.1kg;0.225kg,sin marca,formatos incompatibles,Hamburguesa De Vacuno 100 g Receta del Abuelo | Hamburguesa de Vacuno Receta del Abuelo 100 g | Hamburguesa de Vacuno Receta del Abuelo 185 g | Hamburguesa de Vacuno Receta del Abuelo 225 g,hamburguesa_vacuno_receta_del_abuelo_sin,2206;10991;11234;11239
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.15kg;0.1kg;0.6kg,sin marca,formatos incompatibles,Hamburguesa De Vacuno 100 g La Crianza | Hamburguesa De Vacuno 600 g La Crianza | Hamburguesa de Vacuno La Crianza 100 g | Hamburguesa de Vacuno La Crianza 150 g,hamburguesa_vacuno_crianza_sin_marca_general,2214;2336;11662;11680
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.5l;1l;3l;5l,sin marca,formatos incompatibles,"Aceite De Maravilla Botella 5 L Natura | Aceite De Maravilla Botella 3 L Natura | Aceite De Maravilla Botella 1 L Natura | Aceite De Maravilla Botella 1,5 L Natura",aceite_maravilla_botella_natura_sin_marca,2509;2515;2524;2525
4,error de producto_base; formato distinto; marca distinta; peso distinto; posible falso positivo,0.1kg;0.2kg,lider;sin marca,marcas distintas; formatos incompatibles,Choritos Aceite De Maravilla Lata Drenado 200 g - Neto 425 g Robinson Crusoe | Choritos Aceite De Maravilla Lata Drenado 100 g - Neto 190 g Lider | Choritos Aceite De Maravilla Lata Drenado 100 g - Neto 190 g San José | Choritos Aceite De Maravilla Lata Drenado 100 g - Neto 190 g Robinson Crusoe,choritos_aceite_maravilla_lata_drenado_neto,2618;2631;2637;2705
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.5l;2.5l;2l;3l,coca-cola,formatos incompatibles,"Bebida Sin Azúcar Botella 1,5 L Coca-Cola | Bebida Sin Azúcar Botella 2,5 L Coca-Cola | Bebida Sin Azúcar Botella 3 L Coca-Cola | Bebida Sin Azúcar Botella 2 L Coca-Cola",bebida_sin_azucar_botella_coca_cola,3380;3381;3415;3454
4,categoria incorrecta; error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.25l;0.355l;0.473l,sin marca,formatos incompatibles; categorias distintas,Bebida Energética Sin Azúcar Lata 473 ml Red Bull | Bebida Energética Zero Azúcar Lata 250 ml Red Bull | Bebida Energética Sin Azúcar Lata 250 ml Red Bull | Bebida Energética Sin Azúcar Lata 355 ml Red Bull,bebida_energetica_azucar_lata_red_bull,3382;3392;3433;3471
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.064kg;0.085kg,sin marca,formatos incompatibles,Pasta Fideos Instantáneos Ramen Sabor Pollo 85 g Maruchan | Pasta Fideos Instantáneos Ramen Sabor Pollo Bolsa 85 g Nissin | Pasta Fideos Instantáneos Ramen Sabor Pollo 64 g Maruchan | Pasta Fideos Instantáneos Ramen Sabor Pollo Bolsa 85 g Great Value,pasta_fideos_instantaneos_ramen_sabor_pollo,3480;3492;3496;3503
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.35kg;0.65kg;0.85kg;1.1kg,sin marca,formatos incompatibles,Mayonesa Deli Doypack 1100 g Kraft | Mayonesa Deli Doypack 350 g Kraft | Mayonesa Deli Doypack 650 g Kraft | Mayonesa Deli Doypack 850 g Kraft,mayonesa_deli_doypack_kraft_sin_marca,3759;3768;3806;3840
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.042kg;0.15kg;0.2kg;0.45kg,sin marca,formatos incompatibles,Papas Fritas Caseras 450 g Marco Polo | Papas Fritas Caseras 42 g Marco Polo | Papas Fritas Caseras 200 g Marco Polo | Papas Fritas Caseras Marco Polo 150 g,papas_fritas_caseras_marco_polo_sin,4278;4312;4326;18270
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.5l;3l,sin marca,formatos incompatibles,"Bebida Limón Botella 3 L Limón Soda | Bebida Limón Botella 1,5 L Limón Soda | Bebida Limón Zero Botella 3 L Limón Soda | Bebida Limón Zero Botella 1,5 L Limón Soda",bebida_limon_botella_soda_sin_marca,4387;4439;4448;4462
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.6l;0.85l;1.1l,sin marca,formatos incompatibles,"Bebida Isotónica Frozen Blast Botella 600 ml Powerade | Bebida Isotónica Frozen Blast Zero Botella 600 ml Powerade | Bebida Isotónica Frozen Blast Botella 1,1 L Powerade | Bebida Isotónica Frozen Blast Botella 850 ml Powerade",bebida_isotonica_frozen_blast_botella_powerade,4483;4484;4659;4662
4,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.056kg;0.07kg,sin marca,formatos incompatibles,Puré Cremoso Gato Adulto Sabor Atún Sachet 56 g Churu | Puré Cremoso Gato Adulto Sabor Atún Y Salmón Sachet 56 g Churu | Puré Cremoso Gato Adulto Sabor Atún Y Salmón Sachet 70 g Buddy Pet | Puré Cremoso Gato Adulto Sabor Atún Sachet 70 g Buddy Pet,pure_cremoso_gato_adulto_sabor_atun,4701;4711;4713;4721
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,1.8l;2.8l,drive,formatos incompatibles,"Detergente Líquido Concentrado Expert Líquido Botella 2.8 L Drive | Detergente Concentrado Líquido Expert Botella 1,8 L Drive | Detergente Líquido Concentrado Drive Expert Botella 2.8 L | Detergente Líquido Concentrado Drive Expert Botella 1.8 L",detergente_concentrado_expert_botella_drive_liquido,5159;5189;24920;24923
4,error de producto_base; formato distinto; peso distinto; posible falso positivo; volumen distinto,0.1kg;0.85kg;0.8l;1.8l,sin marca,formatos incompatibles,Quitamanchas Polvo Ropa Blanca Doypack 100 g Vanish | Quitamanchas Líquido Ropa Blanca Doypack 800 ml Vanish | Quitamanchas Polvo Ropa Blanca Doypack 850 g Vanish | Quitamanchas Líquido Ropa Blanca Doypack 1.8 L Vanish,quitamanchas_ropa_blanca_doypack_vanish_sin,5199;5217;5266;5283
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.19l;0.37l;0.65l,sin marca,formatos incompatibles,Shampoo Dove Reconstrucción + Aminoacidos | Shampoo Dove Reconstrucción + Aminoácidos 650 ml | Shampoo Dove Reconstrucción + Aminoácidos 370 ml | Shampoo Dove Reconstrucción + Aminoácidos 190 ml,shampoo_dove_reconstruccion_aminoacidos_sin_marca,5442;26154;26155;26389
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.415l;0.4l;0.95l,sin marca,formatos incompatibles,Shampoo Tío Nacho Aclarante | Shampoo Tío Nacho Aclarante 415 ml | Shampoo Tío Nacho Aclarante 400 ml | Shampoo Tío Nacho Aclarante 950 ml,shampoo_tio_nacho_aclarante_sin_marca,5445;26488;26708;26835
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.3l;0.4l;0.7l,nido,formatos incompatibles,Shampoo Pantene Pro-v Rizos Definidos | Shampoo Pantene Pro-V Rizos Definidos 400 ml | Shampoo Pantene Pro-V Rizos Definidos 700 ml | Shampoo Pantene Pro-V Rizos Definidos 300 ml,shampoo_pantene_pro_v_rizos_definidos,5453;26276;26613;26616
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.375l;0.65l;1l,sin marca,formatos incompatibles,Shampoo Head & Shoulders Anti-comezón Con Menta | Shampoo Head & Shoulders Anti-Comezón con Menta 1 L | Shampoo Head & Shoulders Anti-Comezón con Menta 375 ml | Shampoo Head & Shoulders Anti-Comezón con Menta 650 ml,shampoo_head_shoulders_anti_comezon_con,5482;26141;26213;26363
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.18l;0.375l;0.65l,sin marca,formatos incompatibles,Shampoo Head & Shoulders Manzana Fresh | Shampoo Head & Shoulders Manzana Fresh 375 ml | Shampoo Head & Shoulders Manzana Fresh 650 ml | Shampoo Head & Shoulders Manzana Fresh 180 ml,shampoo_head_shoulders_manzana_fresh_sin,5550;26181;26304;26846
4,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.415l;0.4l;0.95l,sin marca,formatos incompatibles,Shampoo Tío Nacho Herbolaria | Shampoo Tío Nacho Herbolaria 415 ml | Shampoo Tío Nacho Herbolaria 950 ml | Shampoo Tío Nacho Herbolaria 400 ml,shampoo_tio_nacho_herbolaria_sin_marca,5557;26241;26284;26706
